"species","habitat_taxref","pf"
"Macromedaeus nudipes",1,"P"
"Strigatella lugubris",1,"P"
"Vexillum cancellarioides",1,"P"
"Modiolus auriculatus",1,"P"
"Axianassa ngochoae",1,"P"
"Salmoneus tricristatus",1,"P"
"Elasmias apertum",3,"C"
"Chiridota rigida",1,"P"
"Condylomitra tuberosa",1,"P"
"Antillesoma antillarum",1,NA
"Meridiastra rapa",1,"P"
"Lissoclinum patella",1,"P"
"Thalamitoides quadridens",1,"P"
"Automate anacanthopus",1,NA
"Ovachlamys fulgens",3,"I"
"Salmoneus serratidigitus",1,"P"
"Dipsastraea matthaii",1,"P"
"Loxoconcha huahineensis",1,"P"
"Neoxanthias impressus",1,NA
"Cyclax suborbicularis",1,"P"
"Ophiomastix stenozonula",1,"P"
"Anarithma alphonsiana",1,"P"
"Bistolida goodalli",1,"P"
"Taxella eximia",1,"P"
"Cupolaconcha meroclista",1,NA
"Trapezia speciosa",1,"P"
"Parribacus holthuisi",1,"E"
"Neoferdina cumingi",1,"P"
"Tylothais aculeata",1,"P"
"Gymnodoris alba",1,"P"
"Calcinus hakahau",1,"P"
"Ophionereis degeneri",1,NA
"Alpheus lottini",1,"P"
"Ophiomusa fallax",1,"P"
"Smaragdinella calyculata",1,"P"
"Trapezia areolata",1,"P"
"Littoraria scabra",1,"P"
"Eucithara paucicostata",1,"P"
"Elysia rufescens",1,"P"
"Biuve fulvipunctata",1,"P"
"Harpacticus gracilis",1,NA
"Cratis kanekoi",1,"P"
"Pilumnus tahitensis",1,"P"
"Astrosclera willeyana",1,"P"
"Turbo argyrostomus",1,"P"
"Chama pacifica var. convexa",1,"P"
"Calcinus isabellae",1,"P"
"Synalpheus paraneomeris var. praslini",1,"P"
"Orobophana albolabris",3,"E"
"Holothuria whitmaei",1,"P"
"Sesarmops angustifrons",3,"P"
"Calliotrochus marmoreus",1,"P"
"Axiopsis serratifrons",1,"P"
"Ciliopagurus strigatus",1,"P"
"Sadayoshia lipkei",1,"P"
"Astralium confragosum",1,"P"
"Palapedia marquesa",1,"P"
"Parascytoleptus tridens",1,"P"
"Alpheus lobidens",1,"P"
"Alpheus paracrinitus",1,"P"
"Ransoniella punctata trizonata",1,"P"
"Alpheus collumianus",1,"P"
"Tellinella crucigera",1,"P"
"Pinctada nigra",1,NA
"Asteropsis carinifera",1,"P"
"Berthellina delicata",1,"P"
"Lachnopodus subacutus",1,"P"
"Cytharomorula paucimaculata",1,"P"
"Prionalpheus triarticulatus",1,"P"
"Rhinoclavis (Rhinoclavis) aspera",1,"P"
"Ophiactis profundi",1,NA
"Lithophaga teres annectans",1,"P"
"Nebularia contracta",1,"P"
"Devania naviculiforma",1,"P"
"Cistina columbiae",1,"P"
"Nucleolaria nucleus",1,"P"
"Streptopinna saccata inusitata",1,"P"
"Lambis scorpius indomaris",1,NA
"Menaethius orientalis",1,"P"
"Conus coffeae",1,"P"
"Alpheus dolerus",1,"P"
"Lahaina ovata",1,"D"
"Petrolisthes heterochrous",1,NA
"Mastonia vulpina",1,"P"
"Menathais intermedia",1,"P"
"Conus scabriusculus",1,"P"
"Dendrodoris coronata",1,"P"
"Corallianassa borradailei",1,"P"
"Octopus wolfi",1,"P"
"Dardanus sanguinocarpus",1,"P"
"Platypodia semigranosa",1,"P"
"Lithophyllon concinna",1,"P"
"Jocaste japonica",1,"P"
"Tectonatica bougei",1,"P"
"Leptalpheus denticulatus",1,"P"
"Lybia caestifera",1,"P"
"Utinomiella dimorpha",1,"P"
"Alpheus malleodigitus",1,"P"
"Synoicum intercedens",1,"P"
"Atyoida pilipes",4,"P"
"Paraxanthias notatus",1,"P"
"Pylopaguropsis fimbriata",1,"P"
"Aethra edentata",1,"P"
"Amphioplus depressus",1,"P"
"Morula nodicostata",1,"P"
"Chiridota stuhlmanni",1,"P"
"Coralliophila fimbriata",1,"P"
"Tetralia ocucaerulea",1,"P"
"Nausithoe picta",1,"P"
"Coralliophila violacea",1,"P"
"Psammocora contigua",1,"P"
"Siphonaria subatra",1,"P"
"Chlorodiella barbata",1,"P"
"Cardisoma carnifex",5,"P"
"Phylladiorhynchus orpheus",1,"P"
"Strigatella coffea",1,"P"
"Trapezia bidentata",1,"P"
"Dendrodoris nigra",1,"P"
"Notocochlis gualteriana",1,"P"
"Odostomella chorea",1,"P"
"Typhlonida typhle",1,"P"
"Heterocarpus sibogae",1,"P"
"Palola accrescens",1,"P"
"Microprosthema plumicorne",1,"P"
"Trapezia rufopunctata",1,"P"
"Gnathostenetroides polynesica",1,"P"
"Rhinoclavis fasciata",1,"P"
"Aniculus maximus",1,"P"
"Alpheus percyi",1,"P"
"Nanocassiope alcocki",1,NA
"Parribacus antarcticus",1,"P"
"Alpheus eulimene",1,"D"
"Erronea caurica caurica",1,"P"
"Macrophiothrix lorioli",1,NA
"Lamellidea pusilla",3,"C"
"Tridentarius dentatus",1,"P"
"Oliva esiodina",1,"P"
"Cryptapseudes mamua",1,"E"
"Fragum whitleyi",1,NA
"Acanthopleura gemmata",1,"P"
"Lissocarcinus holothuricola",1,"P"
"Antennella secundaria",1,"P"
"Cyclochlamys incubata",1,NA
"Vexillum pacificum",1,"P"
"Galathea aequata",1,"P"
"Pseudoceros rubronanus",1,NA
"Eucidaris metularia",1,"P"
"Opheodesoma spectabilis",1,"P"
"Georissa parva",3,"E"
"Eupilumnus globosus",1,"P"
"Muricodrupa fenestrata",1,"P"
"Nerita argus",1,"P"
"Bradybaena similaris",3,"I"
"Expanathura collaris",1,"P"
"Semiricinula muricoides",1,"P"
"Ophiopallas brevispina",1,NA
"Thalamita bouvieri",1,"P"
"Pseudobiceros gratus",1,NA
"Coralliophila erosa",1,"P"
"Gafrarium pectinatum alfredense",1,NA
"Hippa marmorata",1,"P"
"Graphicomassa margarita",1,"P"
"Automate dolichognatha",1,"P"
"Strigatella assimilis",1,"P"
"Acropora verweyi",1,"P"
"Hesione genetta",1,"P"
"Alpheus gracilis var. luciparensis",1,"P"
"Euplica turturina",1,"P"
"Corella minuta",1,"P"
"Lamellidea oblonga",3,"C"
"Trochomorpha typus",3,"E"
"Chlorocurtis jactans",1,"P"
"Morula zebrina",1,"P"
"Tetralia cinctipes",1,"P"
"Toxopneustes maculatus",1,"P"
"Galathea paulayi",1,"P"
"Phestilla sibogae",1,"P"
"Euxanthus exsculptus rugosus",1,NA
"Holothuria lineata",1,"P"
"Etisus odhneri",1,NA
"Palaemon concinnus",1,"P"
"Ophiolepis rugosa",1,"P"
"Leodice torresiensis",1,"P"
"Lydia annulipes",1,"P"
"Carupa tenuipes",1,"P"
"Lophozozymus dodone",1,"P"
"Neripteron bensoni",1,"P"
"Holothuria pervicax",1,"P"
"Cranosina coronata",1,NA
"Opecarcinus lobifrons",1,NA
"Pseudoceros dimidiatus",1,NA
"Alpheopsis aequalis var. truncatus",1,"P"
"Huenia brevifrons",1,"P"
"Pennaria wilsoni",1,"P"
"Alpheus gracilipes var. serratus",1,NA
"Stilifer linckiae",1,NA
"Calcinus anani",1,"P"
"Barbatia trapezina",1,"P"
"Daldorfia horrida",1,"P"
"Leocrates reishi",1,"P"
"Strigatella pudica",1,"P"
"Macrobrachium lar",4,"P"
"Tanella gracilis",1,NA
"Galathea poupini",1,"P"
"Pseudobiceros damawan",1,NA
"Alpheus philoctetes",1,NA
"Nassarius papillosus",1,"P"
"Semele australis",1,"P"
"Fragum loochooanum",1,NA
"Melampus luteus",6,"P"
"Saron neglectus",1,"P"
"Caducifer truncatus",1,NA
"Lissachatina fulica",3,"J"
"Pachygrapsus minutus",1,"P"
"Galathea pilosa",1,"P"
"Coralliophila robillardi",1,"P"
"Euherdmania digitata",1,"P"
"Garthiella aberrans",1,"P"
"Lysiosquilloides siamensis",1,NA
"Dynomene praedator",1,"P"
"Lienardia fallax",1,NA
"Calcinus haigae",1,"P"
"Partula imperforata",3,"Z"
"Pisania fasciculata",1,"P"
"Saron marmoratus",1,"P"
"Loxoconcha heronislandensis",1,"P"
"Diniatys dentifer",1,"P"
"Polycera japonica",1,"P"
"Vexillum interruptum",1,"P"
"Calcinus gouti",1,"P"
"Amphipholis squamata tenuispina",1,"P"
"Pitar prora",1,"P"
"Isognomon perna",1,"P"
"Melanella oxytata",1,NA
"Scutarcopagia scobinata",1,"P"
"Ervilia bisculpta",1,"P"
"Munna temae",1,"P"
"Thalamita pilumnoides",1,"P"
"Conus sanguinolentus",1,NA
"Rayllianassa amboinensis",1,"P"
"Conus virgo",1,"P"
"Melampus fasciatus",5,"P"
"Phylladiorhynchus peneleos",1,"P"
"Anarithma metula",1,"P"
"Pseudoceros duplicinctus",1,NA
"Furtipodia petrosa",1,"P"
"Tayuva lilacina",1,"P"
"Valvaster striatus",1,"P"
"Thinora maldivensis",1,"P"
"Tastrypaea poorei",1,"P"
"Charonia tritonis",1,"P"
"Alpheus strenuus",1,"P"
"Ophiomastix variabilis",1,"P"
"Euapta godeffroyi",1,"P"
"Triactis producta",1,"P"
"Psammocora profundacella",1,"P"
"Copula sivickisi",1,"P"
"Chama limbula",1,"P"
"Goniobranchus decorus",1,"P"
"Trapezia globosa",1,"P"
"Euplica livescens",1,"P"
"Dermatobranchus fortunatus",1,"P"
"Siphopteron citrinum",1,"P"
"Synalpheus tumidomanus africanus",1,NA
"Galathea tongi",1,"P"
"Vexillum roseum",1,"P"
"Pavona varians",1,"P"
"Pyrene obtusa",1,"P"
"Kaloplocamus ramosus",1,NA
"Conus miles",1,"P"
"Pollia wagneri",1,"P"
"Succinea pudorina",3,"E"
"Tweedieia odhneri",1,"P"
"Lithophaga nigra",1,NA
"Tritonoturris cumingii",1,"P"
"Alpheus malabaricus",1,NA
"Arete dorsalis",1,"P"
"Pullosquilla litoralis",1,"P"
"Leptalpheus pacificus",1,"P"
"Pyura sacciformis",1,"I"
"Stomatella auricula",1,"P"
"Charybdis orientalis",1,"P"
"Lissoclinum ravarava",1,"P"
"Cystiscus garretti",1,"P"
"Alpheus diadema",1,"P"
"Opeas hannense",3,"I"
"Partula navigatoria radiata",3,"Z"
"Pagurixus maorus",1,"P"
"Opalia crassilabrum",1,NA
"Turridrupa astricta",1,"P"
"Philocheras breviflagella",1,"P"
"Gonodactylellus espinosus",1,"P"
"Leocrates anomalus",1,"P"
"Petrolisthes tomentosus",1,"P"
"Conus eburneus",1,"P"
"Harpiliopsis beaupresii",1,"P"
"Harpa amouretta",1,"P"
"Menaethius monoceros",1,"P"
"Oneirophanta setigera",1,"P"
"Phylladiorhynchus zetes",1,"P"
"Rochefortina sandwichensis",1,"P"
"Haloa nigropunctata",1,"P"
"Viriola cancellata",1,NA
"Pinguitellina robusta",1,"P"
"Sadayoshia acroporae",1,"P"
"Acropora austera",1,"P"
"Lachnopodus bidentatus",1,"P"
"Elysia nigropunctata",1,"P"
"Bouchetriphora pallida",1,"P"
"Microdaphne morrisoni",1,"P"
"Ciliopagurus vakovako",1,"P"
"Liomera stimpsonii",1,"P"
"Thor amboinensis",1,"P"
"Lamprohaminoea ovalis",1,"P"
"Eunice makemoana",1,"P"
"Chromodoris aspersa",1,"P"
"Strobopagurus gracilipes",1,"P"
"Microprosthema takedai",1,"P"
"Pascula muricata",1,"P"
"Metaxanthops acutus",1,NA
"Orphnurgus glaber",1,"P"
"Thordisa albomacula",1,"P"
"Liocarpilodes armiger",1,"P"
"Alpheus pachychirus",1,"P"
"Mautodontha consimilis",3,"Z"
"Trapezia flavopunctata",1,"P"
"Philarius polynesicus",1,"P"
"Neonaesa rugosa",1,"P"
"Zafrona striatula",1,"P"
"Clytia simplex",1,"P"
"Scissurella spinosa",1,"P"
"Halgerda brunneomaculata",1,"P"
"Vexillum modestum",1,NA
"Pagurixus tweediei",1,"P"
"Haminoea natalensis",1,"P"
"Notospermus geniculatus",1,NA
"Holothuria leucospilota",1,"P"
"Subadyte papillifera",1,NA
"Rissoina costata",1,"P"
"Vexillum goubini",1,"P"
"Euthymella elegans",1,"P"
"Parastenhelia spinosa",1,NA
"Coralliophila monodonta",1,"P"
"Nursia mimetica",1,"P"
"Trochomorpha swainsoni",3,"E"
"Alpheus clypeatus",1,"P"
"Calcinus guamensis",1,"P"
"Halopteris polymorpha",1,NA
"Cherusius triunguiculatus",1,"P"
"Glossocardia obesa",1,"P"
"Vexillum mirabile",1,"P"
"Pleuractis paumotensis",1,"P"
"Phanerophthalmus paulayi",1,"P"
"Glypturus armatus",1,"P"
"Pinguitellina nux",1,"D"
"Domiporta praestantissima",1,NA
"Rhyssoplax perviridis",1,"P"
"Lybia tessellata",1,"P"
"Carinomitra saltata",1,"P"
"Dynomene hispida",1,"P"
"Acanthanas pusillus",1,"P"
"Mesochaetopterus minutus",1,NA
"Domiporta carnicolor",1,"P"
"Varicorbula rotalis",1,"P"
"Thuridilla carlsoni",1,"P"
"Mesothuria oktaknemus",1,"P"
"Diodora octagona",1,"P"
"Strigatella ambigua",1,"P"
"Clavus bilineatus",1,"P"
"Alpheus pseudopugnax",1,"P"
"Alpheus pacificus",1,"P"
"Holothuria hawaiiensis",1,"P"
"Barbatia parva",1,"P"
"Phestilla poritophages",1,"P"
"Ophiolepis cincta",1,"P"
"Trapezium oblongum",1,"P"
"Synalpheus neptunus",1,NA
"Ptychognathus easteranus",2,"P"
"Didemnum ligulum",1,"P"
"Amphiura luetkeni",1,"P"
"Abdopus abaculus",1,"D"
"Paratypton siebenrocki",1,"P"
"Samoana attenuata",3,"E"
"Pseudograpsus albus",1,"P"
"Heteralentia ptycholepis",1,NA
"Vexillum consanguineum",1,NA
"Medaeus elegans",1,"P"
"Lachnopodus tahitensis",1,"P"
"Lophozozymus anaglyptus",1,"P"
"Bacula morisyuichiroi",1,"P"
"Diplosoma simile",1,"P"
"Onconida prostrata",1,NA
"Holothuria pardalis",1,"P"
"Pascula ochrostoma",1,NA
"Cinetorhynchus hendersoni",1,"P"
"Gonodactylellus micronesicus",1,"P"
"Purpuradusta fimbriata marmorata",1,"P"
"Mauritia mauritiana",1,"P"
"Lamellodysidea herbacea",1,"P"
"Spondylus varius",1,"P"
"Kabutos durandi",1,NA
"Bopyrinina articulata",1,"P"
"Exopalicus maculatus",1,"P"
"Dendrodoris elongata",1,"P"
"Luniella pugil",1,"P"
"Stegoargeia lowisi",1,"P"
"Crossotonotus spinipes",1,"P"
"Clavus unizonalis",1,NA
"Conus moreleti",1,"P"
"Isognomon legumen",1,"P"
"Gonodactylaceus randalli",1,"P"
"Ophiocoma cynthiae",1,NA
"Cerithium interstriatum",1,"P"
"Bittinella lochi",1,"P"
"Thomassinia moorea",1,"P"
"Liomera rubra",1,"P"
"Sympagurus dofleini",1,"P"
"Hydrodendron mirabile",1,NA
"Synalpheus coutierei",1,NA
"Breviturma krohi",1,NA
"Pseudonebularia fraga",1,"P"
"Lissodiadema lorioli",1,"P"
"Cerithium salebrosum",1,"P"
"Holothuria rigida",1,"P"
"Huenia heraldica",1,"P"
"Indomitrella conspersa",1,"P"
"Liardetia discordiae",3,"C"
"Septifer cumingii",1,"P"
"Breviturma pica",1,"P"
"Aegires incusus",1,"D"
"Strigatella litterata",1,"P"
"Trivirostra tryphaenae",1,NA
"Longchaeus maculosus",1,"P"
"Tectarius grandinatus",1,"P"
"Eurythoe complanata",1,"P"
"Zacalantica tenuisculpta",1,"P"
"Cerithium egenum",1,"P"
"Palola viridis",1,"P"
"Conus geographus var. rosea",1,"P"
"Sympagurus planimanus",1,"P"
"Ittibittium parcum",1,"P"
"Colpodaspis thompsoni",1,"P"
"Melampus castaneus",6,"P"
"Vexillum emiliae",1,"P"
"Polyplectana galatheae",1,"P"
"Calloarca tenella",1,"P"
"Nikoides maldivensis",1,"P"
"Caecum sepimentum",1,"P"
"Excellichlamys spectabilis",1,"P"
"Processa hawaiensis",1,NA
"Calcinus orchidae",1,"E"
"Holothuria turriscelsa",1,"P"
"Omphalotropis scitula",3,"E"
"Cadella semen",1,"Q"
"Partula auriculata",3,"Z"
"Eunice impexa",1,"P"
"Eunice margariticacea",1,"P"
"Raoulserenea moorea",1,"E"
"Ophiarachnella infernalis",1,"P"
"Atyopsis spinipes",2,"D"
"Finella pupoides",1,"P"
"Ophioconis cupida",1,"P"
"Discosoma fowleri",1,"P"
"Thalamita seurati",1,"P"
"Trivirostra edgari",1,"P"
"Trididemnum banneri",1,"P"
"Diversidoris flava",1,"P"
"Liomera monticulosa",1,"P"
"Galathea spinosorostris",1,"P"
"Alpheus roseodigitalis",1,"P"
"Alpheus rapacida",1,"P"
"Pylopaguropsis lemaitrei",1,"E"
"Engina phasinola",1,"P"
"Alpheus parvirostris",1,"P"
"Pachycheles sculptus",1,"P"
"Simocarcinus obtusirostris",1,"P"
"Stenopus zanzibaricus",1,"P"
"Galathea mariae",1,"P"
"Xestoleberis paraporthedlandensis",1,"P"
"Strigatella paupercula",1,"P"
"Psammocora nierstraszi",1,"P"
"Lioconcha ornata",1,"P"
"Gnathophyllum americanum",1,"P"
"Naushonia serratipalma",1,"E"
"Libera gregaria",3,"E"
"Mitrella rorida",1,"P"
"Pinna muricata",1,"P"
"Morula lepida",1,NA
"Glorichlamys elegantissima",1,"P"
"Plesiothyreus scobinatus",1,"P"
"Eriphia scabricula",1,"P"
"Petrolisthes extremus",1,NA
"Dardanus scutellatus",1,"P"
"Vasticardium orbita",1,"P"
"Heliacus variegatus",1,"P"
"Amphiodia dividua",1,"P"
"Pterygia crenulata",1,"P"
"Neonesidea schulzi",1,NA
"Phanerophthalmus cylindricus",1,"P"
"Liomera tristis",1,"P"
"Cerithidium perparvulum",1,"P"
"Berthella caledonica",1,NA
"Brissus meridionalis",1,"P"
"Macrophiothrix propinqua",1,"P"
"Alpheus idiocheles",1,"P"
"Globivenus toreuma",1,"P"
"Imbricariopsis conovula",1,"P"
"Euthymella kosugei",1,NA
"Hemilienardia subspurca",1,NA
"Cerithium pacificum",1,"P"
"Laevicaulis alte",3,"I"
"Pocillopora brevicornis",1,"P"
"Metandrocarpa manina",1,"P"
"Nassarius fraudulentus",1,"P"
"Periclimenella spinifera",1,"P"
"Ocypode ceratophthalmus",1,"P"
"Pennaria disticha",1,NA
"Turrilatirus turritus",1,NA
"Diogenes pallescens",1,"P"
"Gelagna succincta",1,"P"
"Gelasimus tetragonon",5,"P"
"Pygmaeopagurus hadrochirus",1,"P"
"Abra seurati",1,"P"
"Danielea noelensis",1,"P"
"Dardanus robustus",1,"P"
"Clibanarius corallinus",1,"P"
"Smaragdia bryanae",1,NA
"Didemnum cuculliferum",1,"P"
"Trapezia digitalis var. typica",1,"P"
"Albunea elioti",1,"P"
"Munida thoe",1,NA
"Gomophia egyptiaca",1,"P"
"Synalpheus charon",1,"P"
"Semiricinula turbinoides",1,"P"
"Echinometra oblonga",1,"P"
"Dynamena crisioides",1,"P"
"Carinapex amirowlandae",1,"P"
"Gastrochaena cuneiformis",1,"P"
"Labidodemas pseudosemperianum",1,"P"
"Micippa platipes",1,NA
"Supplanaxis niger",1,"P"
"Melampus lividus",5,"P"
"Oncopagurus tuamotu",1,"E"
"Breviturma brevipes",1,"P"
"Isognomon nucleus",1,"P"
"Carpias platydactylus",1,"P"
"Polysyncraton poro",1,"P"
"Nebularia pellisserpentis",1,"P"
"Leptoseris mycetoseroides",1,"P"
"Eisothistos societensis",1,"P"
"Stichopus chloronotus",1,"P"
"Alpheus bidens",1,"P"
"Ophiomyces delata",1,NA
"Palaemonella rotumana",1,"P"
"Apseudomorpha drummi",1,"E"
"Munida fasciata",1,"P"
"Celleporaria columnaris",1,NA
"Alpheus sulcatus",1,"P"
"Atys semistriatus",1,"P"
"Leptoseris incrustans",1,"P"
"Usilla avenacea",1,"P"
"Phycophila euchlora",1,"P"
"Favorinus mirabilis",1,"P"
"Vittina turrita",6,"P"
"Nassarius callospira",1,NA
"Hololepidella nigropunctata",1,"P"
"Pocillopora woodjonesi",1,"P"
"Babamunida debrae",1,"P"
"Plocamopherus ceylonicus",1,NA
"Marianina rosea",1,NA
"Jacforus cavatus",1,"P"
"Ophiactis brachygenys",1,NA
"Chama cerion",1,"P"
"Coralliocryptus caementa",1,NA
"Phanerophthalmus albocollaris",1,"P"
"Holothuria inhabilis",1,"P"
"Pseudonebularia chrysalis",1,NA
"Pseudoceros paralaticlavus",1,NA
"Peristernia gemmata",1,"P"
"Anchistus demani",1,"P"
"Leiaster leachi",1,"P"
"Caducifer decapitatus",1,"P"
"Phosinella digera",1,NA
"Alpheus perplexus",1,"P"
"Ceraesignum maximum",1,"P"
"Brachycarpus biunguiculatus",1,"P"
"Siphonaria normalis",1,"D"
"Bourbonanthura vaitapensis",1,"P"
"Barbatia decussata",1,"P"
"Libera heynemanni",3,"E"
"Phoronopsis albomaculata",1,NA
"Clithon chlorostoma",2,"P"
"Elysia pusilla",1,"P"
"Bemlos waipio",1,NA
"Vanikoro helicoidea",1,"P"
"Cyerce elegans",1,"P"
"Broderipia iridescens",1,"P"
"Fragum mundum",1,"P"
"Monoplex nicobaricus",1,"P"
"Acropora palmerae",1,NA
"Peasistilifer nitidula",1,"P"
"Actinimenes inornatus",1,"P"
"Bohadschia koellikeri",1,"P"
"Myurellopsis paucistriata",1,"P"
"Stylocidaris calacantha",1,"P"
"Synalpheus streptodactylus",1,"P"
"Julia zebra",1,"P"
"Aporobopyrina amboinae",1,"P"
"Thelenota anax",1,"P"
"Gambiodonta mirabilis",3,"Z"
"Alpheus miersi",1,NA
"Caecopilumnus loculatus",1,"P"
"Hypselodoris bertschi",1,"P"
"Libera recedens",3,"E"
"Thiara amarula",2,NA
"Elysia obtusa",1,"P"
"Atys naucum",1,"P"
"Aspella anceps",1,NA
"Holothuria difficilis",1,"P"
"Maculastrombus maculatus",1,"P"
"Breviturma pusilla",1,"P"
"Thala angiostoma",1,"P"
"Conus glans var. tenuigranulata",1,"P"
"Holothuria flavomaculata",1,"P"
"Embletonia gracilis paucipapillata",1,"P"
"Monophorus monachus",1,NA
"Kaloplocamus acutus",1,NA
"Glossodoris rufomarginata",1,"P"
"Podophthalmus vigil",1,"P"
"Sagaminopteron psychedelicum",1,"P"
"Alpheus platyunguiculatus",1,"P"
"Goniobranchus kuniei",1,"P"
"Notospermus tricuspidatus",1,NA
"Medaeus aztec",1,NA
"Pagurixus ruber",1,"P"
"Astrea curta",1,"P"
"Varuna litterata",4,"P"
"Mammilla melanostomoides",1,NA
"Thalamita spinifera",1,"P"
"Bursatella leachii",1,NA
"Didemnum psammatodes",1,NA
"Montipora elschneri",1,"P"
"Clibanarius ransoni",1,"P"
"Halacarsantia kussakini",1,"P"
"Pedicularia pacifica",1,"P"
"Cyclax spinicinctus",1,NA
"Ophiomyxa australis",1,"P"
"Athanas djiboutensis",1,"P"
"Dardanus guttatus",1,"P"
"Diopatra dexiognatha",1,"P"
"Onycocaris rudolfi",1,"P"
"Clytia thornelyi",1,NA
"Bulla ampulla",1,"P"
"Quidnipagus palatam",1,"P"
"Xanthias latifrons",1,"P"
"Montipora verrucosa",1,"P"
"Porites lobata",1,"P"
"Drupella cornus",1,"P"
"Garthambrus poupini",1,"P"
"Alpheus bucephalus",1,"P"
"Plumularia spiralis",1,NA
"Etisus bifrontalis",1,"P"
"Polyplectana unispicula",1,"P"
"Prostilifer subpellucida",1,"P"
"Pleurehdera haraldi",1,"P"
"Domecia glabra",1,"P"
"Lupocyclus quinquedentatus",1,"P"
"Thalassocaris crinita",1,"D"
"Palaemonella spinulata",1,"P"
"Parasalenia poehlii",1,"P"
"Mitrella loyaltyensis",1,"P"
"Raoulserenea komaii",1,"P"
"Onycocaris amakusensis",1,"D"
"Vittina gagates",3,NA
"Goniosupradens obtusifrons",1,"P"
"Mitra stictica",1,"P"
"Eunice neocaledoniensis",1,NA
"Hypselodoris godeffroyana",1,"D"
"Iphione coriolis",1,NA
"Justitia longimanus",1,"P"
"Puffinus nativitatis",5,"P"
"Phaethon rubricauda",5,"P"
"Grampus griseus",1,"P"
"Mesoplodon densirostris",1,"P"
"Tursiops truncatus gilli",1,"P"
"Steno bredanensis",1,"P"
"Peponocephala electra",1,"P"
"Pseudorca crassidens",1,"P"
"Lagenodelphis hosei",1,"P"
"Cymolutes praetextatus",1,"P"
"Scorpaenodes minor",1,"P"
"Phylladiorhynchus integrirostris",1,"P"
"Cyclothone pallida",1,NA
"Chromis leucura",1,"P"
"Epinephelus tauvina",1,"P"
"Galathea guttata",1,NA
"Nanocassiope tridentata",1,NA
"Pseudoplesiops revellei",1,"P"
"Halichoeres melasmapomus",1,"P"
"Chromis alpha",1,"P"
"Wetmorella albofasciata",1,"P"
"Ophidiaster duncani",1,"P"
"Polycitor translucidus",1,"P"
"Rattus rattus",3,"J"
"Galziniella polynesica",1,"P"
"Astrapogon alutus",1,NA
"Glyptoparus delicatulus",1,"P"
"Ptereleotris heteroptera",1,"P"
"Pogonoperca punctata",1,"P"
"Gymnapogon urospilotus",1,"P"
"Scorpaenodes hirsutus",1,"P"
"Diplosoma listerianum",1,"I"
"Amblyeleotris fasciata",1,"P"
"Harpacticus obscurus",1,NA
"Oxycheilinus bimaculatus",1,"P"
"Laophonte cornuta",1,NA
"Cymolutes torquatus",1,"P"
"Rattus exulans",3,"I"
"Myrophis microchir",1,"P"
"Scorpaenodes evides",1,"P"
"Chromis margaritifer",1,"P"
"Vexillum castum",1,"P"
"Thalassoma trilobatum",1,"P"
"Barbatia lacerata",1,NA
"Pseudoplesiops rosae",1,"P"
"Monotaxis heterodon",1,"P"
"Gymnothorax richardsonii",1,"P"
"Didemnum fragile",1,"P"
"Leptastrea transversa",1,"P"
"Neosynchiropus ocellatus",1,"P"
"Ptereleotris melanopogon",1,"E"
"Myrichthys maculosus",1,"P"
"Viriola incisa",1,NA
"Caranx ignobilis",1,"P"
"Seminella virginea",1,"P"
"Limnichthys nitidus",1,"P"
"Cirripectes matatakaro",1,"P"
"Holothuria glandifera",1,"P"
"Bodianus perditio",1,"P"
"Pterois mombasae",1,NA
"Ophidion muraenolepis",1,"P"
"Apogon susanae",1,"P"
"Pristipomoides auricilla",1,"P"
"Myripristis tiki",1,"P"
"Gyrineum roseum",1,"P"
"Uropterygius xanthopterus",1,"P"
"Albula glossodonta",1,"P"
"Pseudoliomera lata",1,"P"
"Cantherhines nukuhiva",1,"E"
"Didemnum mutabile",1,"P"
"Belonoperca chabanaudi",1,"P"
"Sargocentron melanospilos",1,"P"
"Pempheris rapa",1,"E"
"Coryphaena hippurus",1,"P"
"Chromis pamae",1,"S"
"Carapus mourlani",1,"P"
"Petrolisthes eldredgei",1,"P"
"Cirripectes fuscoguttatus",1,"P"
"Prodotia iostoma",1,"P"
"Ascidia melanostoma",1,"P"
"Pupisoma dioscoricola insigne",3,"C"
"Ostorhinchus novemfasciatus",1,"P"
"Lates calcarifer",4,"I"
"Platydoris cinereobranchiata",1,NA
"Apogon coccineus",1,"P"
"Monopenchelys acuta",1,"P"
"Symplegma brakenhielmi",1,"I"
"Daphnella reeveana",1,"P"
"Coralliogalathea humilis",1,"P"
"Pseudogramma paucilepis",1,"E"
"Gymnothorax reevesii",1,"P"
"Oliva annulata",1,NA
"Chaetodon declivis",1,"P"
"Caranx papuensis",1,"P"
"Ostorhinchus rubrimacula",1,"P"
"Cephalopholis spiloparaea",1,"P"
"Eleotris fusca",4,"P"
"Conus terebra",1,"P"
"Ronco sosa",1,"P"
"Mnestia girardi",1,"P"
"Entomacrodus corneliae",1,"E"
"Colubraria tortuosa",1,"P"
"Distichopora violacea",1,"P"
"Hinea lineata",1,NA
"Nudechinus verruculatus",1,"P"
"Lampadena anomala",1,"P"
"Diaphus splendidus",1,"P"
"Hypselodoris maculosa",1,"P"
"Coneuplecta calculosa",3,"C"
"Verconia simplex",1,"P"
"Assiminea parvula",3,"C"
"Bathygobius cyclopterus",1,"D"
"Caphyra unidentata",1,"P"
"Alpheus crockeri",1,"P"
